Pregnant,Cohort,Country,Admin1,Admin2,S,C,M,G,I_latent,S_latent,N,,,,
FALSE,FALSE,Honduras,Atlantida,NA,392,NA,NA,NA,NA,NA,464288,,,,
FALSE,FALSE,Honduras,Choluteca,NA,1040,NA,NA,NA,NA,NA,458871,,,,
FALSE,FALSE,Honduras,Colon,NA,173,NA,NA,NA,NA,NA,330105,,,,
FALSE,FALSE,Honduras,Comayagua,NA,414,NA,NA,NA,NA,NA,531676,,,,
FALSE,FALSE,Honduras,Copan,NA,367,NA,NA,NA,NA,NA,394890,,,,
FALSE,FALSE,Honduras,Cortes,NA,13172,NA,NA,NA,NA,NA,1686094,,,,
FALSE,FALSE,Honduras,El_Paraiso,NA,918,NA,NA,NA,NA,NA,473277,,,,
FALSE,FALSE,Honduras,Francisco_Morazan,NA,10654,NA,NA,NA,NA,NA,1601291,,,,
FALSE,FALSE,Honduras,Gracias_a_Dios,NA,0,NA,NA,NA,NA,NA,98337,,,,
FALSE,FALSE,Honduras,Intibuca,NA,46,NA,NA,NA,NA,NA,250959,,,,
FALSE,FALSE,Honduras,Islas_de_la_Bahia,NA,51,NA,NA,NA,NA,NA,69493,,,,
FALSE,FALSE,Honduras,La_Paz,NA,184,NA,NA,NA,NA,NA,213499,,,,
FALSE,FALSE,Honduras,Lempira,NA,22,NA,NA,NA,NA,NA,345489,,,,
FALSE,FALSE,Honduras,NA,NA,32385,308,NA,NA,NA,NA,8190000,,,,
FALSE,FALSE,Honduras,NA,NA,NA,NA,8,NA,NA,NA,211013.8807,,,,
FALSE,FALSE,Honduras,Ocotepeque,NA,83,NA,NA,NA,NA,NA,157018,,,,
FALSE,FALSE,Honduras,Olancho,NA,1462,NA,NA,NA,NA,NA,554282,,,,
FALSE,FALSE,Honduras,Santa_Barbara,NA,1377,NA,NA,NA,NA,NA,448942,,,,
FALSE,FALSE,Honduras,Valle,NA,102,NA,NA,NA,NA,NA,182996,,,,
FALSE,FALSE,Honduras,Yoro,NA,2150,NA,NA,NA,NA,NA,604844,,,,
TRUE,FALSE,Honduras,NA,NA,681,125,NA,NA,NA,NA,384150.7,,,,
FALSE,FALSE,Honduras,Atlantida,NA,NA,NA,1,NA,NA,NA,10030.86836,,,,
FALSE,FALSE,Honduras,Choluteca,NA,NA,NA,0,NA,NA,NA,11941.02943,,,,
FALSE,FALSE,Honduras,Colon,NA,NA,NA,0,NA,NA,NA,7511.508943,,,,
FALSE,FALSE,Honduras,Comayagua,NA,NA,NA,0,NA,NA,NA,11652.82471,,,,
FALSE,FALSE,Honduras,Copan,NA,NA,NA,0,NA,NA,NA,9708.193987,,,,
FALSE,FALSE,Honduras,Cortes,NA,NA,NA,2,NA,NA,NA,43089.49408,,,,
FALSE,FALSE,Honduras,El_Paraiso,NA,NA,NA,0,NA,NA,NA,11043.82054,,,,
FALSE,FALSE,Honduras,Francisco_Morazan,NA,NA,NA,0,NA,NA,NA,38886.68127,,,,
FALSE,FALSE,Honduras,Gracias_a_Dios,NA,NA,NA,2,NA,NA,NA,2208.626268,,,,
FALSE,FALSE,Honduras,Intibuca,NA,NA,NA,0,NA,NA,NA,5911.252669,,,,
FALSE,FALSE,Honduras,Islas_de_la_Bahia,NA,NA,NA,0,NA,NA,NA,593.5574562,,,,
FALSE,FALSE,Honduras,La_Paz,NA,NA,NA,1,NA,NA,NA,5032.524885,,,,
FALSE,FALSE,Honduras,Lempira,NA,NA,NA,0,NA,NA,NA,7902.463888,,,,
FALSE,FALSE,Honduras,Ocotepeque,NA,NA,NA,0,NA,NA,NA,3303.062289,,,,
FALSE,FALSE,Honduras,Olancho,NA,NA,NA,0,NA,NA,NA,13399.01935,,,,
FALSE,FALSE,Honduras,Santa_Barbara,NA,NA,NA,1,NA,NA,NA,10093.83631,,,,
FALSE,FALSE,Honduras,Valle,NA,NA,NA,0,NA,NA,NA,4281.358901,,,,
FALSE,FALSE,Honduras,Yoro,NA,NA,NA,0,NA,NA,NA,14423.75733,,,,
FALSE,FALSE,Honduras,NA,NA,NA,NA,NA,2,NA,NA,8190000,,,,
